#SampleID	Digit	Hand	Keysize	Key	Source	Individual	Spacebar	SpacebarSex	Typingdigit	Handkey	TypingHand	TypingHandSource	TypingHandIndiv	TypingHandSourceIndiv	UseFreq	Description
RKkeyO	NA	NA	Small	O	Key	RK	NA	NA	Ri	Right	RiRight	RiRightKey	RiRightRK	RiRightKeyRK	7plus	"Robk.key, o"
RKIndexL	Index	Left	NA	NA	Fing	RK	NA	NA	In	Left	InLeft	InLeftFing	InLeftRK	InLeftFingRK	NA	Robk.index-left
RKkeyB	NA	NA	Small	B	Key	RK	NA	NA	In	Left	InLeft	InLeftKey	InLeftRK	InLeftKeyRK	1to2	"Robk.key, b"
RKkeyC	NA	NA	Small	C	Key	RK	NA	NA	Mi	Left	MiLeft	MiLeftKey	MiLeftRK	MiLeftKeyRK	2to6	"Robk.key, c"
RKkeyD	NA	NA	Small	D	Key	RK	NA	NA	Mi	Left	MiLeft	MiLeftKey	MiLeftRK	MiLeftKeyRK	2to6	"Robk.key, d"
RKkeyE	NA	NA	Small	E	Key	RK	NA	NA	Mi	Left	MiLeft	MiLeftKey	MiLeftRK	MiLeftKeyRK	7plus	"Robk.key, e"
RKkeyF	NA	NA	Small	F	Key	RK	NA	NA	In	Left	InLeft	InLeftKey	InLeftRK	InLeftKeyRK	2to6	"Robk.key, f"
RKkeyG	NA	NA	Small	G	Key	RK	NA	NA	In	Left	InLeft	InLeftKey	InLeftRK	InLeftKeyRK	2to6	"Robk.key, g"
Male2Space	NA	NA	Large	Space	Key	NA	Private	Male	NA	NA	NA	NA	NA	NA	NA	"Male, personal keyboard spacebar"
Library3Space	NA	NA	Large	Space	Key	NA	Public	Mixed	NA	NA	NA	NA	NA	NA	NA	"Library, public keyboard spacebar"
